time_boot_ms,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
121176.23,2,0,0,0.02,0,0,0.006408059503883123,0,0,0,50,65671,512,2
121216.229,2,0,0,0.01,0,0,0.006358522456139326,0,0,0,50,65671,512,2
121256.262,2,0,0,0.01,0,0,0.006388470064848661,0,0,0,50,65671,512,2
121296.275,2,0,0,0,0,0,0.006427805405110121,0,0,0,50,65671,512,2
121336.257,2,0,0,0,0,0,0.006378499791026115,0,0,0,50,65671,512,2
121376.207,2,0,0,0,0,0,0.006407896988093853,0,0,0,50,65671,512,2
121416.25,2,0,0,0.02,0,0,0.006358304060995579,0,0,0,50,65671,512,2
121456.218,2,0,0,0.02,0,0,0.006388039793819189,0,0,0,50,65671,512,2
121496.258,2,0,0,0,0,0,0.0064278156496584415,0,0,0,50,65671,512,2
121536.27,2,0,0,0,0,0,0.006377822253853083,0,0,0,50,65671,512,2
121576.241,2,0,0,0,0,0,0.006407781504094601,0,0,0,50,65671,512,2
121616.204,2,0,0,0,0,0,0.006358213722705841,0,0,0,50,65671,512,2
121656.228,2,0,0,0,0,0,0.006388111039996147,0,0,0,50,65671,512,2
121696.268,2,0,0,0,0,0,0.006427925080060959,0,0,0,50,65671,512,2
121736.256,2,0,0,0,0,0,0.0063780564814805984,0,0,0,50,65671,512,2
121776.297,2,0,0,0,0,0,0.006407675798982382,0,0,0,50,65671,512,2
121816.251,2,0,0,0.01,0,0,0.0063581340946257114,0,0,0,50,65671,512,2
121856.208,2,0,0,0.01,0,0,0.006387409754097462,0,0,0,50,65671,512,2
121896.233,2,0,0,0,0,0,0.006426917389035225,0,0,0,50,65671,512,2
121936.276,2,0,0,0,0,0,0.00637767743319273,0,0,0,50,65671,512,2
121976.235,2,0,0,0,0,0,0.00640735263004899,0,0,0,50,65671,512,2
122016.264,2,0,0,0.01,0,0,0.006358270067721605,0,0,0,50,65671,512,2
122056.207,2,0,0,0.01,0,0,0.0063872323371469975,0,0,0,50,65671,512,2
122096.231,2,0,0,0.01,0,0,0.00642695976421237,0,0,0,50,65671,512,2
122136.256,2,0,0,0.01,0,0,0.006377323530614376,0,0,0,50,65671,512,2
122176.255,2,0,0,0.01,0,0,0.0064074317924678326,0,0,0,50,65671,512,2
122216.296,2,0,0,0,0,0,0.006357268430292606,0,0,0,50,65671,512,2
122256.259,2,0,0,0,0,0,0.00638723187148571,0,0,0,50,65671,512,2
122296.204,2,0,0,0.03,0,0,0.006426920648664236,0,0,0,50,65671,512,2
122336.236,2,0,0,0.03,0,0,0.006377856712788343,0,0,0,50,65671,512,2
122376.216,2,0,0,0.03,0,0,0.006407349370419979,0,0,0,50,65671,512,2
122416.261,2,0,0,0.01,0,0,0.006357353646308184,0,0,0,50,65671,512,2
122456.26,2,0,0,0.01,0,0,0.006387414876371622,0,0,0,50,65671,512,2
122496.227,2,0,0,0.01,0,0,0.006427183281630278,0,0,0,50,65671,512,2
122536.2,2,0,0,0.01,0,0,0.00637777941301465,0,0,0,50,65671,512,2
122576.243,2,0,0,0.01,0,0,0.006407036446034908,0,0,0,50,65671,512,2
122616.254,2,0,0,0.01,0,0,0.006357619538903236,0,0,0,50,65671,512,2
122656.236,2,0,0,0.01,0,0,0.006387006025761366,0,0,0,50,65671,512,2
122696.282,2,0,0,0,0,0,0.006426583044230938,0,0,0,50,65671,512,2
122736.261,2,0,0,0,0,0,0.00637730723246932,0,0,0,50,65671,512,2
122776.217,2,0,0,0,0,0,0.006406848318874836,0,0,0,50,65671,512,2
122816.232,2,0,0,0.01,0,0,0.0063570644706487656,0,0,0,50,65671,512,2
122856.263,2,0,0,0.01,0,0,0.006387156434357166,0,0,0,50,65671,512,2
122896.237,2,0,0,0.01,0,0,0.006426745560020208,0,0,0,50,65671,512,2
122936.265,2,0,0,0.01,0,0,0.006377376616001129,0,0,0,50,65671,512,2
122976.203,2,0,0,0.01,0,0,0.006406491156667471,0,0,0,50,65671,512,2
123016.235,2,0,0,0,0,0,0.0063573927618563175,0,0,0,50,65671,512,2
123056.237,2,0,0,0,0,0,0.006387668661773205,0,0,0,50,65671,512,2
123096.259,2,0,0,0.01,0,0,0.006426857318729162,0,0,0,50,65671,512,2
123136.265,2,0,0,0.01,0,0,0.006377178709954023,0,0,0,50,65671,512,2
123176.261,2,0,0,0.01,0,0,0.006407103035598993,0,0,0,50,65671,512,2
123216.208,2,0,0,0,0,0,0.006357445847243071,0,0,0,50,65671,512,2
123256.229,2,0,0,0,0,0,0.00638720765709877,0,0,0,50,65671,512,2
123296.218,2,0,0,0,0,0,0.006426926702260971,0,0,0,50,65671,512,2
123336.27,2,0,0,0,0,0,0.006377213168889284,0,0,0,50,65671,512,2
123376.23,2,0,0,0,0,0,0.006407200824469328,0,0,0,50,65671,512,2
123416.227,2,0,0,0,0,0,0.0063573382794857025,0,0,0,50,65671,512,2
123456.202,2,0,0,0,0,0,0.006386865396052599,0,0,0,50,65671,512,2
123496.23,2,0,0,0,0,0,0.0064264750108122826,0,0,0,50,65671,512,2
123536.257,2,0,0,0,0,0,0.006377224810421467,0,0,0,50,65671,512,2
123576.296,2,0,0,0,0,0,0.006406879518181086,0,0,0,50,65671,512,2
123616.287,2,0,0,0.01,0,0,0.006357720121741295,0,0,0,50,65671,512,2
123656.224,2,0,0,0.01,0,0,0.006387287750840187,0,0,0,50,65671,512,2
123696.214,2,0,0,0.01,0,0,0.0064267306588590145,0,0,0,50,65671,512,2
123736.246,2,0,0,0.01,0,0,0.0063774799928069115,0,0,0,50,65671,512,2
123776.264,2,0,0,0.01,0,0,0.006407542619854212,0,0,0,50,65671,512,2
123816.274,2,0,0,0,0,0,0.006357432808727026,0,0,0,50,65671,512,2
123856.275,2,0,0,0,0,0,0.006386924535036087,0,0,0,50,65671,512,2
123896.207,2,0,0,0.01,0,0,0.006426672916859388,0,0,0,50,65671,512,2
123936.251,2,0,0,0.01,0,0,0.006377509795129299,0,0,0,50,65671,512,2
123976.231,2,0,0,0.01,0,0,0.006407249718904495,0,0,0,50,65671,512,2
124016.257,2,0,0,0,0,0,0.006357523147016764,0,0,0,50,65671,512,2
124056.266,2,0,0,0,0,0,0.006387326400727034,0,0,0,50,65671,512,2
124096.256,2,0,0,0,0,0,0.006426936015486717,0,0,0,50,65671,512,2
124136.226,2,0,0,0,0,0,0.006377518177032471,0,0,0,50,65671,512,2
124176.229,2,0,0,0,0,0,0.006407305132597685,0,0,0,50,65671,512,2
124216.221,2,0,0,0,0,0,0.0063573806546628475,0,0,0,50,65671,512,2
124256.267,2,0,0,0,0,0,0.006387597415596247,0,0,0,50,65671,512,2
124296.277,2,0,0,0,0,0,0.0064269364811480045,0,0,0,50,65671,512,2
124336.259,2,0,0,0,0,0,0.006377753801643848,0,0,0,50,65671,512,2
124376.201,2,0,0,0,0,0,0.006406888831406832,0,0,0,50,65671,512,2
124416.227,2,0,0,0.01,0,0,0.006357432808727026,0,0,0,50,65671,512,2
124456.264,2,0,0,0.01,0,0,0.006387160625308752,0,0,0,50,65671,512,2
124496.273,2,0,0,0,0,0,0.006427069194614887,0,0,0,50,65671,512,2
124536.275,2,0,0,0,0,0,0.006377060431987047,0,0,0,50,65671,512,2
124576.222,2,0,0,0,0,0,0.006406803615391254,0,0,0,50,65671,512,2
124616.241,2,0,0,0,0,0,0.006357138976454735,0,0,0,50,65671,512,2
124656.231,2,0,0,0,0,0,0.006386840716004372,0,0,0,50,65671,512,2
124696.261,2,0,0,0,0,0,0.006426635198295116,0,0,0,50,65671,512,2
124736.278,2,0,0,0,0,0,0.006377043668180704,0,0,0,50,65671,512,2
124776.256,2,0,0,0,0,0,0.006406603846698999,0,0,0,50,65671,512,2
124816.206,2,0,0,0,0,0,0.006357159931212664,0,0,0,50,65671,512,2
124856.232,2,0,0,0,0,0,0.006387009285390377,0,0,0,50,65671,512,2
124896.242,2,0,0,0,0,0,0.006426512263715267,0,0,0,50,65671,512,2
124936.26,2,0,0,0,0,0,0.006376628763973713,0,0,0,50,65671,512,2
124976.265,2,0,0,0,0,0,0.006406748667359352,0,0,0,50,65671,512,2
125016.266,2,0,0,0,0,0,0.006357701029628515,0,0,0,50,65671,512,2
125056.202,2,0,0,0,0,0,0.006386586930602789,0,0,0,50,65671,512,2
125096.227,2,0,0,0.02,0,0,0.006426114588975906,0,0,0,50,65671,512,2
125136.249,2,0,0,0.02,0,0,0.006377051584422588,0,0,0,50,65671,512,2
125176.258,2,0,0,0.02,0,0,0.0064069959335029125,0,0,0,50,65671,512,2
125216.252,2,0,0,0,0,0,0.006357444915920496,0,0,0,50,65671,512,2
125256.251,2,0,0,0,0,0,0.006386876571923494,0,0,0,50,65671,512,2
125296.205,2,0,0,0.01,0,0,0.0064263674430549145,0,0,0,50,65671,512,2
125336.241,2,0,0,0.01,0,0,0.006376932375133038,0,0,0,50,65671,512,2
125376.269,2,0,0,0.01,0,0,0.006406536791473627,0,0,0,50,65671,512,2
125416.248,2,0,0,0,0,0,0.006356942467391491,0,0,0,50,65671,512,2
125456.261,2,0,0,0,0,0,0.006386816967278719,0,0,0,50,65671,512,2
125496.247,2,0,0,0.01,0,0,0.006426176987588406,0,0,0,50,65671,512,2
125536.235,2,0,0,0.01,0,0,0.006376689299941063,0,0,0,50,65671,512,2
125576.231,2,0,0,0.01,0,0,0.006406753323972225,0,0,0,50,65671,512,2
125616.281,2,0,0,0,0,0,0.006356736645102501,0,0,0,50,65671,512,2
125656.273,2,0,0,0,0,0,0.00638612499460578,0,0,0,50,65671,512,2
125696.251,2,0,0,0.01,0,0,0.006425643805414438,0,0,0,50,65671,512,2
125736.207,2,0,0,0.01,0,0,0.006376600358635187,0,0,0,50,65671,512,2
125776.228,2,0,0,0.01,0,0,0.006405546795576811,0,0,0,50,65671,512,2
125816.232,2,0,0,0.01,0,0,0.006356102880090475,0,0,0,50,65671,512,2
125856.263,2,0,0,0.01,0,0,0.006385973654687405,0,0,0,50,65671,512,2
125896.263,2,0,0,0,0,0,0.00642577325925231,0,0,0,50,65671,512,2
125936.245,2,0,0,0,0,0,0.006376094184815884,0,0,0,50,65671,512,2
125976.206,2,0,0,0,0,0,0.006405163556337357,0,0,0,50,65671,512,2
126016.232,2,0,0,0,0,0,0.0063560218550264835,0,0,0,50,65671,512,2
126056.268,2,0,0,0,0,0,0.006385865155607462,0,0,0,50,65671,512,2
126096.241,2,0,0,0.02,0,0,0.0064253052696585655,0,0,0,50,65671,512,2
126136.283,2,0,0,0.02,0,0,0.006375766359269619,0,0,0,50,65671,512,2
126176.257,2,0,0,0.02,0,0,0.006405440624803305,0,0,0,50,65671,512,2
126216.204,2,0,0,0,0,0,0.0063560218550264835,0,0,0,50,65671,512,2
126256.227,2,0,0,0,0,0,0.006385787855833769,0,0,0,50,65671,512,2
126296.257,2,0,0,0.03,0,0,0.006425375118851662,0,0,0,50,65671,512,2
126336.3,2,0,0,0.03,0,0,0.0063756490126252174,0,0,0,50,65671,512,2
126376.259,2,0,0,0.03,0,0,0.006405319552868605,0,0,0,50,65671,512,2
126416.223,2,0,0,0,0,0,0.006355752237141132,0,0,0,50,65671,512,2
126456.231,2,0,0,0,0,0,0.006385701708495617,0,0,0,50,65671,512,2
126496.226,2,0,0,0,0,0,0.006424697116017342,0,0,0,50,65671,512,2
126536.284,2,0,0,0,0,0,0.006375358439981937,0,0,0,50,65671,512,2
126576.277,2,0,0,0,0,0,0.006405050400644541,0,0,0,50,65671,512,2
126616.272,2,0,0,0.01,0,0,0.006355627905577421,0,0,0,50,65671,512,2
126656.204,2,0,0,0.01,0,0,0.00638485886156559,0,0,0,50,65671,512,2
126696.23,2,0,0,0.01,0,0,0.006424101535230875,0,0,0,50,65671,512,2
126736.212,2,0,0,0.01,0,0,0.006375004071742296,0,0,0,50,65671,512,2
126776.261,2,0,0,0.01,0,0,0.0064046429470181465,0,0,0,50,65671,512,2
126816.254,2,0,0,0.03,0,0,0.006355226505547762,0,0,0,50,65671,512,2
126856.257,2,0,0,0.03,0,0,0.006384463515132666,0,0,0,50,65671,512,2
126896.201,2,0,0,0,0,0,0.006423852872103453,0,0,0,50,65671,512,2
126936.23,2,0,0,0,0,0,0.006374547723680735,0,0,0,50,65671,512,2
126976.306,2,0,0,0,0,0,0.006404366344213486,0,0,0,50,65671,512,2
127016.23,2,0,0,0.01,0,0,0.006354250945150852,0,0,0,50,65671,512,2
127056.283,2,0,0,0.01,0,0,0.006384082138538361,0,0,0,50,65671,512,2
127096.227,2,0,0,0.01,0,0,0.006423627026379108,0,0,0,50,65671,512,2
127136.214,2,0,0,0.01,0,0,0.006374374032020569,0,0,0,50,65671,512,2
127176.241,2,0,0,0.01,0,0,0.00640406459569931,0,0,0,50,65671,512,2
