time_boot_ms,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
211177.514,391848177,-768259264,123.79999542236328,123.79999542236328,
211216.969,391848177,-768259264,123.79999542236328,123.79999542236328,
211256.965,391848177,-768259264,123.79999542236328,123.79999542236328,
211297.386,391848177,-768259264,123.79999542236328,123.79999542236328,
211337.419,391848177,-768259264,123.79999542236328,123.79999542236328,
211377.458,391848183,-768259264,123.82999420166016,123.82999420166016,
211417.005,391848183,-768259264,123.82999420166016,123.82999420166016,
211456.973,391848183,-768259264,123.82999420166016,123.82999420166016,
211497.387,391848183,-768259264,123.82999420166016,123.82999420166016,
211537.419,391848183,-768259264,123.82999420166016,123.82999420166016,
211577.379,391848194,-768259259,123.86000061035156,123.86000061035156,
211617.005,391848194,-768259259,123.86000061035156,123.86000061035156,
211657.055,391848194,-768259259,123.86000061035156,123.86000061035156,
211697.432,391848194,-768259259,123.86000061035156,123.86000061035156,
211737.547,391848194,-768259259,123.86000061035156,123.86000061035156,
211777.331,391848195,-768259263,123.8499984741211,123.8499984741211,
211816.979,391848195,-768259263,123.8499984741211,123.8499984741211,
211857.017,391848195,-768259263,123.8499984741211,123.8499984741211,
211897.451,391848195,-768259263,123.8499984741211,123.8499984741211,
211937.448,391848195,-768259263,123.8499984741211,123.8499984741211,
211977.379,391848205,-768259260,123.87999725341797,123.87999725341797,
212016.977,391848205,-768259260,123.87999725341797,123.87999725341797,
212056.971,391848205,-768259260,123.87999725341797,123.87999725341797,
212097.448,391848205,-768259260,123.87999725341797,123.87999725341797,
212137.485,391848205,-768259260,123.87999725341797,123.87999725341797,
212177.425,391848209,-768259260,123.89999389648438,123.89999389648438,
212216.889,391848209,-768259260,123.89999389648438,123.89999389648438,
212256.948,391848209,-768259260,123.89999389648438,123.89999389648438,
212297.429,391848209,-768259260,123.89999389648438,123.89999389648438,
212337.646,391848209,-768259260,123.89999389648438,123.89999389648438,
212377.46,391848211,-768259267,123.8499984741211,123.8499984741211,
212416.949,391848211,-768259267,123.8499984741211,123.8499984741211,
212456.909,391848211,-768259267,123.8499984741211,123.8499984741211,
212497.641,391848211,-768259267,123.8499984741211,123.8499984741211,
212537.439,391848211,-768259267,123.8499984741211,123.8499984741211,
212577.463,391848222,-768259263,123.90999603271484,123.90999603271484,
212616.938,391848222,-768259263,123.90999603271484,123.90999603271484,
212656.905,391848222,-768259263,123.90999603271484,123.90999603271484,
212697.368,391848222,-768259263,123.90999603271484,123.90999603271484,
212737.641,391848222,-768259263,123.90999603271484,123.90999603271484,
212777.447,391848219,-768259270,123.87999725341797,123.87999725341797,
