time_boot_ms,C,Q1,Q2,Q3,Q4
88496.275,1,0.9999855160713196,-0.000580479740165174,0.005345441866666079,-0.0001553240726934746
88536.259,1,0.9999854564666748,-0.0005690741818398237,0.005358562339097261,-0.00016273515939246863
88576.219,1,0.99998539686203,-0.0005703090573661029,0.005372313782572746,-0.00015622797945979983
88616.232,1,0.9999853372573853,-0.000553335587028414,0.0053852517157793045,-0.00014995683159213513
88656.213,1,0.9999855160713196,-0.0005716439336538315,0.005350693129003048,-0.00015523961337748915
88696.264,1,0.99998539686203,-0.0005710239056497812,0.0053719463758170605,-0.0001655753585509956
88736.258,1,0.99998539686203,-0.0005592931411229074,0.005375000648200512,-0.00017623681924305856
88776.25,1,0.99998539686203,-0.0005717540625482798,0.005365624092519283,-0.00018541091412771493
88816.213,1,0.9999855160713196,-0.0005877150688320398,0.005351098719984293,-0.0001944887771969661
88856.242,1,0.9999856352806091,-0.0005797406774945557,0.005322898272424936,-0.0002127561892848462
88896.24,1,0.9999856948852539,-0.000567940529435873,0.005317110102623701,-0.00019988873100373894
88936.25,1,0.9999856352806091,-0.0005697828601114452,0.005318933166563511,-0.0002341113140573725
88976.279,1,0.9999857544898987,-0.0005506016314029694,0.005307814106345177,-0.00025352899683639407
89016.227,1,0.9999855756759644,-0.00055631686700508,0.005332246422767639,-0.00025340652791783214
89056.205,1,0.9999855756759644,-0.0005750959389843047,0.005331927910447121,-0.0002578316780272871
89096.225,1,0.9999855756759644,-0.0005667458171956241,0.005338563118129969,-0.0002721896453294903
89136.257,1,0.9999854564666748,-0.0005747724790126085,0.00535452039912343,-0.0002641718019731343
89176.234,1,0.9999852776527405,-0.0005830773152410984,0.0053886235691607,-0.0002678445016499609
89216.291,1,0.9999853372573853,-0.0005795666947960854,0.005380009766668081,-0.0002878284140024334
89256.201,1,0.9999852180480957,-0.0005727903335355222,0.0053990972228348255,-0.0002826348354574293
89296.232,1,0.9999851584434509,-0.0005652631516568363,0.005412673112004995,-0.00027024871087633073
89336.233,1,0.9999852776527405,-0.0005792283336631954,0.005392799153923988,-0.00027066131588071585
89376.267,1,0.9999852180480957,-0.0005975227104499936,0.005397729109972715,-0.0002675678697414696
89416.255,1,0.9999851584434509,-0.0005681575275957584,0.005407633259892464,-0.00027261950890533626
89456.255,1,0.9999852180480957,-0.0005739619373343885,0.005400089547038078,-0.0002499478287063539
89496.199,1,0.9999851584434509,-0.0005814622854813933,0.0054055480286479,-0.00026735488791018724
89536.235,1,0.9999851584434509,-0.0005898350500501692,0.005413469392806292,-0.00026755407452583313
89576.22,1,0.9999851584434509,-0.0006008408381603658,0.005410550162196159,-0.0002434021735098213
89616.256,1,0.9999850988388062,-0.0006030288059264421,0.005420599598437548,-0.0002366957487538457
89656.227,1,0.9999850988388062,-0.0006250800215639174,0.005418033339083195,-0.0002073687792290002
89696.241,1,0.9999850392341614,-0.0006158293108455837,0.005430238321423531,-0.00021137634757906199
89736.202,1,0.9999850392341614,-0.0006257991190068424,0.005432719364762306,-0.00019632182375062257
89776.233,1,0.9999849796295166,-0.0006270040175877512,0.005440752953290939,-0.0002009008458117023
89816.266,1,0.9999849796295166,-0.0006264846888370812,0.005438525695353746,-0.00019992952002212405
89856.298,1,0.9999849796295166,-0.0006312979385256767,0.005444981623440981,-0.000190952472621575
89896.254,1,0.9999848008155823,-0.0006292058387771249,0.005470368545502424,-0.00019817179418168962
89936.226,1,0.9999848008155823,-0.0006385535234585404,0.0054700495675206184,-0.00020702810434158891
89976.213,1,0.9999848008155823,-0.0006613654550164938,0.005473204422742128,-0.00022529544366989285
90016.226,1,0.9999849200248718,-0.0006549275713041425,0.00545135885477066,-0.00023038357903715223
90056.26,1,0.9999848008155823,-0.0006664198008365929,0.005467815324664116,-0.0002413769980194047
90096.277,1,0.9999847412109375,-0.0006732904585078359,0.005481359548866749,-0.00022888823878020048
90136.266,1,0.9999847412109375,-0.0006696814671158791,0.005478316452354193,-0.00022869404347147793
90176.201,1,0.999984860420227,-0.0006725425482727587,0.005458016414195299,-0.00024933626991696656
90216.238,1,0.999984860420227,-0.0006665398832410574,0.005455775652080774,-0.0002353664458496496
90256.225,1,0.9999848008155823,-0.0006926734349690378,0.00546250632032752,-0.0002461950352881104
90296.264,1,0.9999847412109375,-0.0007000648183748126,0.005477750673890114,-0.0002473179192747921
90336.269,1,0.9999847412109375,-0.0006970118847675622,0.005473894067108631,-0.00024878530530259013
90376.256,1,0.9999846816062927,-0.000710613327100873,0.005481929052621126,-0.0002450550382491201
90416.225,1,0.9999846816062927,-0.0007184459245763719,0.00548672117292881,-0.000235680490732193
90456.227,1,0.9999847412109375,-0.0007265425520017743,0.005474526435136795,-0.0002410291926935315
90496.231,1,0.9999846816062927,-0.000732410466298461,0.005479917861521244,-0.00025355166872031987
90536.286,1,0.9999847412109375,-0.0007317239651456475,0.005469727795571089,-0.00024763427791185677
90576.257,1,0.9999846816062927,-0.0007297604461200535,0.005485390778630972,-0.00023627652262803167
90616.236,1,0.9999846816062927,-0.0007380382157862186,0.005483477842062712,-0.00023222429445013404
90656.201,1,0.999984622001648,-0.0007554328185506165,0.005490994546562433,-0.00022221427934709936
90696.229,1,0.9999845623970032,-0.0007762311142869294,0.00549857784062624,-0.00021095635020174086
90736.286,1,0.9999845027923584,-0.0007929261773824692,0.0055076805874705315,-0.00019094151502940804
90776.275,1,0.9999843835830688,-0.0007993084727786481,0.005531935021281242,-0.00019061268540099263
90816.3,1,0.9999844431877136,-0.0008126668399199843,0.005517925601452589,-0.00018427561735734344
90856.215,1,0.9999845027923584,-0.0008314239676110446,0.005503289867192507,-0.00016173243056982756
90896.212,1,0.9999845623970032,-0.0008313118014484644,0.005491321440786123,-0.0001816636649891734
90936.231,1,0.9999845623970032,-0.0008301367051899433,0.005495172925293446,-0.00016908554243855178
90976.251,1,0.999984622001648,-0.0008317195461131632,0.005483102984726429,-0.00016800835146568716
91016.271,1,0.999984622001648,-0.0008467924199067056,0.005483175627887249,-0.00016967495321296155
91056.261,1,0.9999846816062927,-0.0008407593704760075,0.00546642392873764,-0.000172796833794564
91096.2,1,0.9999846816062927,-0.0008380963699892163,0.005471950396895409,-0.00019325129687786102
91136.226,1,0.9999846816062927,-0.0008407453424297273,0.005466321483254433,-0.00018486987391952425
91176.236,1,0.999984622001648,-0.0008496459922753274,0.005472848191857338,-0.00019520388741511852
91216.276,1,0.9999846816062927,-0.0008465757127851248,0.005464938469231129,-0.0002052253985311836
91256.265,1,0.9999845623970032,-0.0008596660336479545,0.005485926289111376,-0.00020003608369734138
91296.248,1,0.9999845623970032,-0.0008521030540578067,0.005482714157551527,-0.00022143074602354318
91336.199,1,0.999984622001648,-0.0008485860307700932,0.005471793934702873,-0.00021914448007009923
91376.251,1,0.9999845027923584,-0.0008445028215646744,0.005496341269463301,-0.00024560184101574123
91416.249,1,0.9999844431877136,-0.0008589150384068489,0.0055021559819579124,-0.000265957583906129
91456.251,1,0.9999844431877136,-0.0008786774706095457,0.005504251923412085,-0.0002705520892050117
91496.279,1,0.9999843239784241,-0.0008884107228368521,0.005518295802175999,-0.00027644974761642516
