time_boot_ms,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
154337.507,-0.62,-0.47,0.32,-0.7999999523162842,391843629,-768256471,0.9999730587005615,-0.005407544318586588,-0.004127093590795994,0.002761145355179906
154377.142,-0.62,-0.47,0.32,-0.7999999523162842,391843629,-768256471,0.9999729990959167,-0.00540542509406805,-0.004127589985728264,0.0027645633090287447
154416.93,-0.62,-0.47,0.32,-0.7999999523162842,391843629,-768256471,0.9999731183052063,-0.005406142678111792,-0.004125983454287052,0.0027607649099081755
154457.198,-0.62,-0.47,0.32,-0.8100000023841858,391843629,-768256471,0.9999730587005615,-0.00540628656744957,-0.004128855653107166,0.002759738592430949
154497.797,-0.62,-0.47,0.32,-0.8100000023841858,391843640,-768256479,0.9999729990959167,-0.005410065874457359,-0.004126816987991333,0.0027612328995019197
154537.471,-0.62,-0.47,0.32,-0.85999995470047,391843640,-768256479,0.9999729990959167,-0.005417307373136282,-0.004125060513615608,0.0027596026193350554
154577.092,-0.62,-0.47,0.32,-0.85999995470047,391843640,-768256479,0.999972939491272,-0.00541806360706687,-0.004125775769352913,0.0027630452532321215
154616.865,-0.62,-0.47,0.32,-0.85999995470047,391843640,-768256479,0.999972939491272,-0.005419231951236725,-0.004128992557525635,0.00276347273029387
154657.203,-0.62,-0.47,0.32,-0.85999995470047,391843640,-768256479,0.999972939491272,-0.005421601701527834,-0.0041257762350142,0.0027637712191790342
154697.406,-0.62,-0.47,0.32,-0.85999995470047,391843661,-768256492,0.999972939491272,-0.00542290136218071,-0.004126789513975382,0.0027628839015960693
154737.575,-0.62,-0.47,0.32,-0.7999999523162842,391843661,-768256492,0.999972939491272,-0.005413910839706659,-0.004130333196371794,0.0027661211788654327
154777.229,-0.62,-0.47,0.32,-0.7999999523162842,391843661,-768256492,0.9999729990959167,-0.005417330656200647,-0.004123407416045666,0.002765376353636384
154816.932,-0.62,-0.47,0.32,-0.7999999523162842,391843661,-768256492,0.9999729990959167,-0.00541439326480031,-0.004125261213630438,0.002767873927950859
154857.167,-0.62,-0.47,0.32,-0.9300000071525574,391843661,-768256492,0.9999729990959167,-0.005413317587226629,-0.004120796453207731,0.0027702341321855783
154897.409,-0.62,-0.47,0.32,-0.9300000071525574,391843690,-768256507,0.999972939491272,-0.005412672646343708,-0.004119341727346182,0.002769606653600931
154937.467,-0.62,-0.46,0.32,-0.7199999690055847,391843690,-768256507,0.9999729990959167,-0.005414984188973904,-0.004115222487598658,0.002763079944998026
154977.156,-0.62,-0.46,0.32,-0.7199999690055847,391843690,-768256507,0.9999730587005615,-0.005413554608821869,-0.0041037253104150295,0.002766364486888051
155016.94,-0.62,-0.46,0.32,-0.7199999690055847,391843690,-768256507,0.9999730587005615,-0.005408544093370438,-0.004106141626834869,0.002769242972135544
155057.162,-0.62,-0.46,0.32,-0.8199999928474426,391843690,-768256507,0.9999730587005615,-0.005410948768258095,-0.004105697385966778,0.0027660056948661804
155097.321,-0.62,-0.46,0.32,-0.8199999928474426,391843717,-768256520,0.9999730587005615,-0.005415820516645908,-0.004107983782887459,0.0027663270011544228
155137.63,-0.62,-0.46,0.32,-0.85999995470047,391843717,-768256520,0.9999730587005615,-0.005418871063739061,-0.00410288805142045,0.0027695319149643183
155177.177,-0.62,-0.46,0.32,-0.85999995470047,391843717,-768256520,0.9999730587005615,-0.0054144649766385555,-0.004100250080227852,0.002769774990156293
155216.978,-0.62,-0.46,0.32,-0.85999995470047,391843717,-768256520,0.9999730587005615,-0.005410556215792894,-0.004099711775779724,0.002772783860564232
155257.17,-0.62,-0.46,0.32,-0.6100000143051147,391843717,-768256520,0.9999729990959167,-0.0054173944517970085,-0.004099855665117502,0.002778379013761878
155297.4,-0.62,-0.46,0.32,-0.6100000143051147,391843730,-768256531,0.9999729990959167,-0.005413753911852837,-0.0041046831756830215,0.002780596259981394
155337.593,-0.62,-0.46,0.32,-0.8799999952316284,391843730,-768256531,0.9999729990959167,-0.005413479637354612,-0.004106894601136446,0.0027787755243480206
155377.249,-0.62,-0.46,0.32,-0.8799999952316284,391843730,-768256531,0.9999730587005615,-0.0054093715734779835,-0.004105955362319946,0.0027792956680059433
155417.016,-0.62,-0.46,0.32,-0.8799999952316284,391843730,-768256531,0.9999729990959167,-0.005415225401520729,-0.004107519052922726,0.002783173928037286
155457.175,-0.62,-0.46,0.32,-0.9399999976158142,391843730,-768256531,0.9999729990959167,-0.005416559986770153,-0.004107374232262373,0.0027782111428678036
155497.483,-0.62,-0.46,0.32,-0.9399999976158142,391843730,-768256531,0.9999729990959167,-0.005418024025857449,-0.004103287123143673,0.0027748201973736286
155537.417,-0.62,-0.46,0.32,-1.0199999809265137,391843752,-768256541,0.9999729990959167,-0.005421567242592573,-0.004105379339307547,0.0027756530325859785
155577.175,-0.62,-0.46,0.32,-1.0199999809265137,391843752,-768256541,0.9999729990959167,-0.0054227011278271675,-0.004106488078832626,0.002779893111437559
155616.924,-0.62,-0.46,0.32,-1.0199999809265137,391843752,-768256541,0.9999729990959167,-0.005425933748483658,-0.004103528801351786,0.002785721095278859
155657.162,-0.62,-0.46,0.32,-0.9599999785423279,391843752,-768256541,0.999972939491272,-0.00542276818305254,-0.0041022952646017075,0.002785205841064453
155697.47,-0.62,-0.46,0.32,-0.9599999785423279,391843752,-768256541,0.9999729990959167,-0.005422883667051792,-0.004100778140127659,0.002786412835121155
155737.443,-0.62,-0.46,0.32,-0.85999995470047,391843757,-768256546,0.999972939491272,-0.005429656710475683,-0.004103402607142925,0.0027884668670594692
155777.175,-0.62,-0.46,0.32,-0.85999995470047,391843757,-768256546,0.999972939491272,-0.0054283118806779385,-0.004101954400539398,0.0027896466199308634
155816.967,-0.62,-0.46,0.32,-0.85999995470047,391843757,-768256546,0.9999729990959167,-0.0054262238554656506,-0.004096726421266794,0.002785442164167762
155857.497,-0.62,-0.46,0.32,-0.9699999690055847,391843757,-768256546,0.9999729990959167,-0.0054259588941931725,-0.004095048643648624,0.002781914547085762
155897.001,-0.62,-0.46,0.32,-0.9699999690055847,391843757,-768256546,0.999972939491272,-0.00542823551222682,-0.004099961835891008,0.0027851283084601164
155937.595,-0.62,-0.46,0.32,-0.75,391843783,-768256560,0.9999729990959167,-0.00542378518730402,-0.004106156527996063,0.0027814400382339954
155977.168,-0.62,-0.46,0.32,-0.75,391843783,-768256560,0.9999729990959167,-0.005422363523393869,-0.004107496235519648,0.002774354536086321
156016.867,-0.62,-0.46,0.32,-0.75,391843783,-768256560,0.9999729990959167,-0.005426308605819941,-0.004110936541110277,0.0027696688193827868
156057.192,-0.62,-0.46,0.32,-1.0199999809265137,391843783,-768256560,0.999972939491272,-0.005424147471785545,-0.004114758688956499,0.002771513070911169
156097.148,-0.62,-0.47,0.32,-1.0199999809265137,391843783,-768256560,0.999972939491272,-0.005422267131507397,-0.004122001118957996,0.002770080231130123
156137.557,-0.62,-0.47,0.32,-0.8899999856948853,391843801,-768256572,0.999972939491272,-0.005421936511993408,-0.00412280298769474,0.0027656464371830225
156177.11,-0.62,-0.47,0.32,-0.8899999856948853,391843801,-768256572,0.999972939491272,-0.005423040594905615,-0.004121089354157448,0.0027662015054374933
156216.966,-0.62,-0.47,0.32,-0.8899999856948853,391843801,-768256572,0.999972939491272,-0.005420173052698374,-0.004125514067709446,0.0027694774325937033
156257.191,-0.62,-0.47,0.32,-1.0699999332427979,391843801,-768256572,0.999972939491272,-0.005412754137068987,-0.004123648628592491,0.0027682536747306585
156297.372,-0.62,-0.47,0.32,-1.0699999332427979,391843801,-768256572,0.9999729990959167,-0.005411649588495493,-0.004125875420868397,0.002764591947197914
156337.533,-0.62,-0.47,0.32,-1.0699999332427979,391843816,-768256581,0.9999729990959167,-0.005414498038589954,-0.0041273245587944984,0.0027645104564726353
156377.167,-0.62,-0.47,0.31,-1.0699999332427979,391843816,-768256581,0.999972939491272,-0.005418245680630207,-0.004131919238716364,0.0027565720956772566
156416.92,-0.62,-0.47,0.31,-1.0699999332427979,391843816,-768256581,0.999972939491272,-0.005413438193500042,-0.004127923399209976,0.002754055429250002
156457.152,-0.62,-0.47,0.32,-0.9399999976158142,391843816,-768256581,0.9999729990959167,-0.005413951352238655,-0.004127324093133211,0.0027588005177676678
156497.421,-0.62,-0.47,0.31,-0.9399999976158142,391843816,-768256581,0.9999729990959167,-0.005412586033344269,-0.004131356719881296,0.002750543411821127
156537.622,-0.62,-0.47,0.31,-1.1399999856948853,391843829,-768256589,0.999972939491272,-0.005412398837506771,-0.004137217532843351,0.002747816499322653
156577.198,-0.62,-0.47,0.31,-1.1399999856948853,391843829,-768256589,0.999972939491272,-0.0054084244184195995,-0.004140293691307306,0.002755694556981325
156616.962,-0.62,-0.47,0.31,-1.1399999856948853,391843829,-768256589,0.9999730587005615,-0.005407714284956455,-0.004142237827181816,0.002750211860984564
156657.181,-0.62,-0.47,0.31,-1.0199999809265137,391843829,-768256589,0.9999729990959167,-0.005409236531704664,-0.0041368030942976475,0.002747616032138467
156697.357,-0.62,-0.47,0.31,-1.0199999809265137,391843829,-768256589,0.9999729990959167,-0.005406660959124565,-0.004138821270316839,0.0027460334822535515
156737.375,-0.62,-0.47,0.31,-1.0799999237060547,391843840,-768256598,0.9999729990959167,-0.005409666802734137,-0.004135834518820047,0.0027491061482578516
156777.221,-0.62,-0.47,0.31,-1.0799999237060547,391843840,-768256598,0.9999729990959167,-0.005414244253188372,-0.004134467802941799,0.0027456285897642374
156816.993,-0.62,-0.47,0.31,-1.0799999237060547,391843840,-768256598,0.9999729990959167,-0.005416451022028923,-0.00413953373208642,0.002740694209933281
156857.196,-0.62,-0.47,0.31,-0.6399999856948853,391843840,-768256598,0.9999729990959167,-0.005415108520537615,-0.004136835690587759,0.0027387419249862432
156897.43,-0.62,-0.47,0.31,-0.6399999856948853,391843840,-768256598,0.999972939491272,-0.005415960680693388,-0.004138247109949589,0.0027398469392210245
156937.444,-0.62,-0.47,0.31,-0.7699999809265137,391843857,-768256608,0.999972939491272,-0.005416523665189743,-0.004140104632824659,0.0027393419295549393
156977.161,-0.62,-0.47,0.31,-0.7699999809265137,391843857,-768256608,0.999972939491272,-0.005414625629782677,-0.004138220101594925,0.0027388213202357292
157017.164,-0.62,-0.47,0.31,-0.7699999809265137,391843857,-768256608,0.9999729990959167,-0.005415758583694696,-0.00413345405831933,0.0027380601968616247
157057.068,-0.62,-0.47,0.31,-0.8199999928474426,391843857,-768256608,0.9999729990959167,-0.0054234531708061695,-0.004136195406317711,0.0027356550563126802
157097.393,-0.62,-0.47,0.31,-0.8199999928474426,391843857,-768256608,0.9999729990959167,-0.005423341412097216,-0.0041365413926541805,0.00274066929705441
157137.617,-0.62,-0.47,0.31,-0.8499999642372131,391843865,-768256615,0.9999729990959167,-0.005425615236163139,-0.004135236144065857,0.002741117961704731
157177.16,-0.62,-0.47,0.31,-0.8499999642372131,391843865,-768256615,0.999972939491272,-0.005425005219876766,-0.004141299054026604,0.002741002943366766
157217.155,-0.62,-0.47,0.31,-0.8499999642372131,391843865,-768256615,0.999972939491272,-0.005426424089819193,-0.0041421507485210896,0.002734605222940445
157257.214,-0.62,-0.47,0.31,-1.0299999713897705,391843865,-768256615,0.999972939491272,-0.0054259332828223705,-0.004137598443776369,0.0027382990811020136
157297.523,-0.62,-0.47,0.31,-1.0299999713897705,391843865,-768256615,0.999972939491272,-0.0054287537932395935,-0.004142126999795437,0.0027357276994735003
157337.49,-0.62,-0.47,0.31,-1.0199999809265137,391843882,-768256625,0.999972939491272,-0.005423069000244141,-0.004140691366046667,0.0027342599350959063
157377.151,-0.62,-0.47,0.31,-1.0199999809265137,391843882,-768256625,0.9999728798866272,-0.005422827787697315,-0.004150889348238707,0.002736005699262023
157417.286,-0.62,-0.47,0.31,-1.0199999809265137,391843882,-768256625,0.999972939491272,-0.00542818196117878,-0.0041460031643509865,0.002733179833739996
157456.987,-0.62,-0.47,0.31,-0.8299999833106995,391843882,-768256625,0.999972939491272,-0.005428322125226259,-0.00414281664416194,0.0027250598650425673
157497.511,-0.62,-0.47,0.31,-0.8299999833106995,391843882,-768256625,0.9999729990959167,-0.00542497681453824,-0.004144866485148668,0.0027236160822212696
157537.459,-0.62,-0.47,0.31,-1.090000033378601,391843907,-768256638,0.9999729990959167,-0.005419878754764795,-0.004143057856708765,0.0027238596230745316
157577.176,-0.62,-0.47,0.31,-1.090000033378601,391843907,-768256638,0.9999729990959167,-0.005417786072939634,-0.004141189157962799,0.002717034425586462
157617.154,-0.62,-0.47,0.31,-1.090000033378601,391843907,-768256638,0.9999729990959167,-0.005413701757788658,-0.004139418248087168,0.002713595051318407
157657.017,-0.62,-0.47,0.31,-0.9699999690055847,391843907,-768256638,0.9999730587005615,-0.005412816535681486,-0.004140191711485386,0.002717698225751519
157697.471,-0.62,-0.47,0.31,-0.9699999690055847,391843907,-768256638,0.9999730587005615,-0.005413778591901064,-0.004145807586610317,0.0027201026678085327
157737.59,-0.62,-0.47,0.31,-1.0799999237060547,391843916,-768256648,0.9999730587005615,-0.005403297487646341,-0.004151215776801109,0.0027161105535924435
157777.119,-0.62,-0.47,0.31,-1.0799999237060547,391843916,-768256648,0.9999731183052063,-0.005401699338108301,-0.004154547117650509,0.0027183659840375185
157817.154,-0.62,-0.47,0.31,-1.0799999237060547,391843916,-768256648,0.9999730587005615,-0.0054070851765573025,-0.004155009984970093,0.002718836534768343
157856.897,-0.62,-0.47,0.31,-0.8799999952316284,391843916,-768256648,0.9999729990959167,-0.00540973711758852,-0.0041543859988451,0.0027167745865881443
157897.534,-0.62,-0.47,0.31,-0.8799999952316284,391843916,-768256648,0.9999731183052063,-0.005407797172665596,-0.004152501001954079,0.0027144351042807102
157937.494,-0.62,-0.47,0.31,-0.9199999570846558,391843945,-768256662,0.9999730587005615,-0.005407140590250492,-0.004155951086431742,0.0027181447949260473
157977.193,-0.62,-0.47,0.31,-0.9199999570846558,391843945,-768256662,0.9999731183052063,-0.005406714044511318,-0.004153152462095022,0.002712259767577052
158017.348,-0.62,-0.47,0.31,-0.9199999570846558,391843945,-768256662,0.9999730587005615,-0.005408879369497299,-0.004148120526224375,0.0027113850228488445
158056.877,-0.62,-0.47,0.31,-0.8700000047683716,391843945,-768256662,0.9999731183052063,-0.005410030949860811,-0.0041460758075118065,0.002705500926822424
158097.332,-0.62,-0.47,0.31,-0.8700000047683716,391843945,-768256662,0.9999731779098511,-0.005405629053711891,-0.0041435230523347855,0.0027036552783101797
158137.542,-0.62,-0.47,0.31,-0.699999988079071,391843947,-768256666,0.9999731183052063,-0.005411641206592321,-0.00414185831323266,0.0026965078432112932
158177.134,-0.62,-0.47,0.31,-0.699999988079071,391843947,-768256666,0.9999731183052063,-0.005412854254245758,-0.004138816148042679,0.002695502480491996
158217.172,-0.62,-0.47,0.31,-0.699999988079071,391843947,-768256666,0.9999731183052063,-0.005409632343798876,-0.004134025424718857,0.002692606532946229
158256.986,-0.62,-0.47,0.31,-0.7199999690055847,391843947,-768256666,0.9999731183052063,-0.005409108009189367,-0.004137118346989155,0.002694340655580163
158297.348,-0.62,-0.47,0.31,-0.7199999690055847,391843947,-768256666,0.9999731183052063,-0.005409695208072662,-0.004128627944737673,0.002693823305889964
158337.576,-0.62,-0.47,0.31,-0.7699999809265137,391843948,-768256669,0.9999731183052063,-0.0054098679684102535,-0.004129407927393913,0.002691488014534116
158377.213,-0.62,-0.47,0.31,-0.7699999809265137,391843948,-768256669,0.9999732375144958,-0.005405860021710396,-0.004127964843064547,0.002690954366698861
158417.192,-0.62,-0.47,0.31,-0.7699999809265137,391843948,-768256669,0.9999732971191406,-0.005402243230491877,-0.004125899635255337,0.0026893848553299904
158456.942,-0.62,-0.46,0.31,-0.9099999666213989,391843948,-768256669,0.9999733567237854,-0.00540114613249898,-0.00411461153998971,0.0026895191986113787
158497.394,-0.62,-0.46,0.31,-0.9099999666213989,391843948,-768256669,0.9999732971191406,-0.005405966658145189,-0.004111224785447121,0.002686298219487071
158537.405,-0.62,-0.46,0.31,-0.949999988079071,391843958,-768256678,0.9999733567237854,-0.005408094730228186,-0.004107957240194082,0.00268015218898654
158577.18,-0.62,-0.46,0.31,-0.949999988079071,391843958,-768256678,0.9999733567237854,-0.005405962001532316,-0.004107121843844652,0.002686466556042433
158617.278,-0.62,-0.46,0.31,-0.949999988079071,391843958,-768256678,0.9999732971191406,-0.005408050958067179,-0.004111425951123238,0.002689013257622719
158656.978,-0.62,-0.46,0.31,-0.8999999761581421,391843958,-768256678,0.9999732375144958,-0.005410302896052599,-0.0041097188368439674,0.002689201617613435
158697.443,-0.62,-0.46,0.31,-0.8999999761581421,391843958,-768256678,0.9999732971191406,-0.005411357153207064,-0.00410548085346818,0.0026925166603177786
158737.566,-0.62,-0.46,0.31,-0.6200000047683716,391843971,-768256687,0.9999731779098511,-0.0054150852374732494,-0.004109250381588936,0.002695864997804165
158777.176,-0.62,-0.46,0.31,-0.6200000047683716,391843971,-768256687,0.9999732375144958,-0.005414554849267006,-0.004101538565009832,0.0026929753366857767
158817.165,-0.62,-0.46,0.31,-0.6200000047683716,391843971,-768256687,0.9999732971191406,-0.005415408872067928,-0.004097925033420324,0.0026953695341944695
158857.062,-0.62,-0.46,0.31,-0.8999999761581421,391843971,-768256687,0.9999732375144958,-0.005417192354798317,-0.004101542290300131,0.002694235183298588
158897.403,-0.62,-0.46,0.31,-0.8999999761581421,391843971,-768256687,0.9999732375144958,-0.005416262894868851,-0.004105028696358204,0.0026876910123974085
158937.571,-0.62,-0.46,0.31,-1.0199999809265137,391843981,-768256695,0.9999732971191406,-0.005413341801613569,-0.004105676431208849,0.0026816644240170717
158977.246,-0.62,-0.46,0.31,-1.0199999809265137,391843981,-768256695,0.9999732971191406,-0.0054107182659208775,-0.004105390515178442,0.002680604113265872
159017.187,-0.62,-0.46,0.31,-1.0199999809265137,391843981,-768256695,0.9999732375144958,-0.005410925485193729,-0.004108155611902475,0.002684444421902299
159056.978,-0.62,-0.46,0.31,-0.7599999904632568,391843981,-768256695,0.9999732971191406,-0.0054156663827598095,-0.004107657819986343,0.002681225072592497
159097.435,-0.62,-0.46,0.31,-0.7599999904632568,391843981,-768256695,0.9999732971191406,-0.0054194508120417595,-0.004104522988200188,0.0026833799201995134
159137.507,-0.62,-0.46,0.31,-0.8899999856948853,391843988,-768256700,0.9999732375144958,-0.005419102963060141,-0.004104897379875183,0.0026847170665860176
159177.19,-0.62,-0.46,0.31,-0.8899999856948853,391843988,-768256700,0.9999732375144958,-0.005417241714894772,-0.0041023362427949905,0.002694853115826845
159217.301,-0.62,-0.46,0.31,-0.8899999856948853,391843988,-768256700,0.9999732375144958,-0.005419698543846607,-0.00410460727289319,0.0026914754416793585
159256.955,-0.62,-0.46,0.31,-0.6399999856948853,391843988,-768256700,0.9999732375144958,-0.00541717791929841,-0.004102559760212898,0.002687012543901801
159297.394,-0.62,-0.46,0.31,-0.6399999856948853,391843988,-768256700,0.9999732971191406,-0.005415020510554314,-0.004104188643395901,0.0026850528083741665
159337.536,-0.62,-0.46,0.31,-0.9599999785423279,391843991,-768256705,0.9999732971191406,-0.005417290143668652,-0.0041054957546293736,0.00267945253290236
159377.119,-0.62,-0.46,0.31,-0.9599999785423279,391843991,-768256705,0.9999732375144958,-0.0054212408140301704,-0.004107476212084293,0.0026867417618632317
159417.202,-0.62,-0.46,0.31,-0.9599999785423279,391843991,-768256705,0.9999731779098511,-0.005419476889073849,-0.004110791254788637,0.002686116611585021
159456.942,-0.62,-0.46,0.31,-0.9300000071525574,391843991,-768256705,0.9999732375144958,-0.005417459178715944,-0.004105909261852503,0.00268650334328413
159497.368,-0.62,-0.46,0.31,-0.9300000071525574,391843991,-768256705,0.9999732375144958,-0.0054168845526874065,-0.004101581405848265,0.0026871785521507263
159537.639,-0.62,-0.46,0.31,-0.5699999928474426,391844002,-768256714,0.9999732971191406,-0.005416330881416798,-0.004098463337868452,0.0026849647983908653
159577.33,-0.62,-0.46,0.31,-0.5699999928474426,391844002,-768256714,0.9999732375144958,-0.005419520661234856,-0.004099271725863218,0.0026801573112607002
159617.111,-0.62,-0.46,0.31,-0.5699999928474426,391844002,-768256714,0.9999733567237854,-0.005415455903857946,-0.004098349250853062,0.0026794900186359882
159656.933,-0.62,-0.46,0.31,-0.8799999952316284,391844002,-768256714,0.9999732971191406,-0.005419799592345953,-0.004097735974937677,0.002677724463865161
159697.411,-0.62,-0.46,0.31,-0.8799999952316284,391844002,-768256714,0.9999732971191406,-0.0054205902852118015,-0.004097586963325739,0.0026781370397657156
159737.469,-0.62,-0.46,0.31,-0.9099999666213989,391844015,-768256725,0.9999732971191406,-0.005421576555818319,-0.0041008926928043365,0.0026731824036687613
159777.131,-0.62,-0.46,0.3,-0.9099999666213989,391844015,-768256725,0.9999733567237854,-0.005413627251982689,-0.004095816053450108,0.002669454785063863
159817.399,-0.62,-0.46,0.31,-0.9099999666213989,391844015,-768256725,0.9999732971191406,-0.005415939725935459,-0.0040960051119327545,0.0026775107253342867
159856.943,-0.62,-0.46,0.31,-0.9399999976158142,391844015,-768256725,0.9999732971191406,-0.0054167513735592365,-0.004094756208360195,0.00267714518122375
159897.356,-0.62,-0.46,0.31,-0.9399999976158142,391844015,-768256725,0.9999732971191406,-0.005421509966254234,-0.0040928372181952,0.002677587326616049
